GSR Conductance CAL (u Siemens)_002,GSR Conductance CAL (u Siemens)_001,GSR Conductance CAL (u Siemens)_004,GSR Conductance CAL (u Siemens)_003,GSR Conductance CAL (u Siemens)_005,GSR Conductance CAL (u Siemens)_006,GSR Conductance CAL (u Siemens)_007,GSR Conductance CAL (u Siemens)_008
-0.23738751995244897,-1.05561780999009,-0.6231314705170586,-1.3329197763856075,-2.3313361914465656,-0.5048009838636109,-0.8959719085723199,
-0.24396692887332047,-1.05561780999009,-0.6231314705170586,-1.3318348107503841,-2.338784715020158,-0.47953104624968756,-0.9067701081586338,0.7416092990456448
-0.24396692887332047,-1.053225944629152,-0.6408110635961374,-1.3318348107503841,-2.3313361914465656,-0.47953104624968756,-0.8959719085723199,
-0.24396692887332047,-1.0544217167601935,-0.6231314705170586,-1.3318348107503841,-2.3313361914465656,-0.47953104624968756,-0.8959719085723199,0.7416092990456448
-0.24396692887332047,-1.0544217167601935,-0.6231314705170586,-1.3329197763856075,-2.3313361914465656,-0.45426522024292554,-0.8851719517525599,
-0.24396692887332047,-1.05561780999009,-0.6231314705170586,-1.3329197763856075,-2.3164411439030244,-0.47953104624968756,-0.9067701081586338,0.7416092990456448
-0.24396692887332047,-1.053225944629152,-0.6231314705170586,-1.3329197763856075,-2.323887667872973,-0.45426522024292554,-0.8959719085723199,
-0.24396692887332047,-1.0544217167601935,-0.6231314705170586,-1.3340050333649858,-2.3089926203294318,-0.45426522024292554,-0.8959719085723199,
-0.24396692887332047,-1.053225944629152,-0.6231314705170586,-1.3318348107503841,-2.3089926203294318,-0.47953104624968756,-0.8851719517525599,
-0.24396692887332047,-1.053225944629152,-0.6231314705170586,-1.3340050333649858,-2.3089926203294318,-0.47953104624968756,-0.8959719085723199,
-0.2505463377941908,-1.0520298513992563,-0.6231314705170586,-1.3329197763856075,-2.3089926203294318,-0.47953104624968756,-0.8959719085723199,
-0.24396692887332047,-1.053225944629152,-0.6231314705170586,-1.3340050333649858,-2.3015460963594796,-0.47953104624968756,-0.8851719517525599,
-0.2505463377941908,-1.053225944629152,-0.6231314705170586,-1.3340050333649858,-2.2940975727858945,-0.47953104624968756,-0.8851719517525599,
-0.2505463377941908,-1.053225944629152,-0.6231314705170586,-1.3350899990002085,-2.3015460963594796,-0.45426522024292554,-0.8851719517525599,0.7355618061147966
-0.2505463377941908,-1.0520298513992563,-0.6231314705170586,-1.3340050333649858,-2.2866510488159424,-0.45426522024292554,-0.8851719517525599,
-0.24396692887332047,-1.053225944629152,-0.6408110635961374,-1.3340050333649858,-2.2940975727858945,-0.45426522024292554,-0.8743737521662525,
-0.2505463377941908,-1.0520298513992563,-0.6231314705170586,-1.3340050333649858,-2.2866510488159424,-0.45426522024292554,-0.8743737521662525,
-0.2505463377941908,-1.053225944629152,-0.6231314705170586,-1.3350899990002085,-2.2866510488159424,-0.45426522024292554,-0.8743737521662525,
-0.2505463377941908,-1.0520298513992563,-0.6408110635961374,-1.3340050333649858,-2.2866510488159424,-0.45426522024292554,-0.8851719517525599,
-0.2505463377941908,-1.0520298513992563,-0.6408110635961374,-1.3340050333649858,-2.271756001272401,-0.4289952826290021,-0.8743737521662525,
-0.2505463377941908,-1.053225944629152,-0.6231314705170586,-1.336175255979587,-2.27920252524235,-0.4289952826290021,-0.8851719517525599,
-0.25712636126848404,-1.0520298513992563,-0.6408110635961374,-1.3350899990002085,-2.2643074776988086,-0.45426522024292554,-0.8743737521662525,
-0.25712636126848404,-1.0520298513992563,-0.6231314705170586,-1.3372602216148097,-2.2643074776988086,-0.45426522024292554,-0.8743737521662525,0.7355618061147966
-0.2505463377941908,-1.053225944629152,,-1.3350899990002085,-2.271756001272401,-0.4289952826290021,-0.8635737953464893,
-0.25712636126848404,-1.053225944629152,,-1.3372602216148097,-2.25686095372886,-0.45426522024292554,-0.8635737953464893,
-0.25712636126848404,-1.053225944629152,,-1.3350899990002085,-2.271756001272401,-0.4289952826290021,-0.8635737953464893,
-0.2505463377941908,-1.0520298513992563,,-1.3383454785941882,-2.2643074776988086,-0.4289952826290021,-0.8635737953464893,
-0.25712636126848404,-1.053225944629152,,-1.3350899990002085,-2.25686095372886,-0.45426522024292554,-0.8635737953464893,
